SpaceX
pepsi
elonmusk
mtbarra


name,id,date,text,polarity,retweet,fav,tag

SpaceX,967270883713679360,2018-02-24 05:32:04,"b""Standing down from this weekend's launch attempt to conduct additional testing on the fairing\xe2\x80\x99s pressurization syst\xe2\x80\xa6 https://t.co/ttzPZIaMZF""",-4,1025,10299,-4

SpaceX,966853862530342912,2018-02-23 01:54:58,b'More photos from today\xe2\x80\x99s Falcon 9 launch \xe2\x86\x92 https://t.co/095WHX44BX https://t.co/xeuRZ9WxyZ',4,8225,44540,0

SpaceX,966705029468995585,2018-02-22 16:03:34,"b'RT @elonmusk: First two Starlink demo satellites, called Tintin A &amp; B, deployed and communicating to Earth stations https://t.co/TfI53wHEtz'",4,7671,0,4

SpaceX,966681978572451840,2018-02-22 14:31:58,b'Successful deployment of PAZ satellite to low-Earth orbit confirmed. https://t.co/xOEuyaFrcZ',4,4947,28409,4

SpaceX,966680639305953281,2018-02-22 14:26:39,b'Second stage engine cutoff confirmed.',4,454,5743,4

SpaceX,966679124155678720,2018-02-22 14:20:37,b'Fairing has deployed.',0,551,6861,4

SpaceX,966679026407387136,2018-02-22 14:20:14,b'Main engine cutoff and stage separation confirmed. Second stage engine burn underway.',4,415,4592,4

SpaceX,966678421580390400,2018-02-22 14:17:50,b'Liftoff! https://t.co/gtC39uBC7z',0,1087,5610,4

SpaceX,966678020210638849,2018-02-22 14:16:14,b'T-60 seconds until launch \xe2\x86\x92 https://t.co/gtC39uBC7z',0,461,3018,0

SpaceX,966675261491101697,2018-02-22 14:05:16,b'Webcast of Falcon 9 launch is now live \xe2\x86\x92 https://t.co/gtC39uBC7z',4,2134,9194,0

SpaceX,966663753897934848,2018-02-22 13:19:33,b'T-60 minutes until Falcon 9 launch of PAZ. Launch webcast will go live about 15 minutes before liftoff \xe2\x86\x92 https://t.co/gtC39uBC7z',4,1659,6309,0

SpaceX,966313372814749701,2018-02-21 14:07:15,b'Standing down today due to strong upper level winds. Now targeting launch of PAZ for February 22 at 6:17 a.m. PST f\xe2\x80\xa6 https://t.co/vzSU5gta96',4,2334,12494,-4

SpaceX,966307027684225025,2018-02-21 13:42:03,"b'T-40 minutes until Falcon 9 launch of PAZ. Pending weather balloon data, launch webcast will go live about 15 minut\xe2\x80\xa6 https://t.co/BWe8JYtI5f'",4,1238,5480,0

SpaceX,966187350740127744,2018-02-21 05:46:29,b'Static fire test of Falcon 9 complete\xe2\x80\x94targeting February 25 launch of Hispasat 30W-6 from Pad 40 in Florida.',4,1122,9380,4

SpaceX,966075198616363008,2018-02-20 22:20:50,b'Falcon 9 and PAZ are vertical on Space Launch Complex 4E at Vandenberg Air Force Base in California. Weather is 90%\xe2\x80\xa6 https://t.co/zifUWcRgjn',-4,3726,19385,4

SpaceX,964937069901447168,2018-02-17 18:58:19,b'Team at Vandenberg is taking additional time to perform final checkouts of upgraded fairing. Payload and vehicle re\xe2\x80\xa6 https://t.co/IIfqyFsuay',0,1333,10553,0

SpaceX,964342882579619841,2018-02-16 03:37:14,b'Now targeting February 18 launch of PAZ from SLC-4E to allow for additional time for pre-launch systems checks. Fal\xe2\x80\xa6 https://t.co/xA5hgIpkqm',0,1544,13145,0

SpaceX,962784246128558080,2018-02-11 20:23:46,b'Static fire test of Falcon 9 complete\xe2\x80\x94targeting February 17 launch of PAZ from Vandenberg Air Force Base in California.',-4,2128,19274,0

SpaceX,961085127206957056,2018-02-07 03:52:05,b'RT @elonmusk: Third burn successful. Exceeded Mars orbit and kept going to the Asteroid Belt. https://t.co/bKhRN73WHF',4,39652,0,4

SpaceX,961084879432597504,2018-02-07 03:51:06,"b""More photos from Falcon Heavy's first flight \xe2\x86\x92 https://t.co/095WHX44BX https://t.co/6vlXJoYif0""",4,18460,63789,4

SpaceX,961001555817148416,2018-02-06 22:20:00,b'Live Views of Starman https://t.co/G335kvVsta',4,38220,72725,4

SpaceX,960994111934357504,2018-02-06 21:50:25,b'RT @elonmusk: Live view of Starman https://t.co/gvSlztlE6l',4,26877,0,4

SpaceX,960991138730725376,2018-02-06 21:38:36,"b'RT @elonmusk: Upper stage restart nominal, apogee raised to 7000 km. Will spend 5 hours getting zapped in Van Allen belts &amp; then attempt fi\xe2\x80\xa6'",0,15667,0,4

SpaceX,960980303689891840,2018-02-06 20:55:33,b'Second stage engine cutoff as planned.',0,3544,35684,4

